                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.0601,                 3.4706,                 2.8453,                  1.733,                0.04583,                   0.04,                0.01369,                0.00374,                0.00106,                   0.08,                0.00058,                0.00015,                 2.1815,                 8.7208,                 5.1069,                  2.091,             0.00089908,             0.00089908,             0.00089908
                     25,                 2.0757,                 3.6954,                 2.6776,                 1.8104,                0.05184,                   0.04,                0.01518,                0.00336,                 0.0003,                   0.02,                0.00015,                  3e-05,                 2.1706,                 9.9024,                 4.9738,                 2.1042,             0.00093183,             0.00093183,             0.00093183
                     26,                 1.9892,                 3.4441,                 2.8742,                 1.7775,                0.11714,                   0.04,                0.02775,                0.00996,                0.00031,                   0.02,                0.00016,                  3e-05,                 2.1614,                 11.198,                 4.9546,                 2.0062,             0.00096416,             0.00096416,             0.00096416
                     27,                 1.9406,                 3.6734,                 2.4795,                 1.7065,                0.10142,                    0.1,                0.03258,                0.00901,                0.00094,                   0.06,                0.00068,                0.00012,                 2.1986,                 9.5089,                 4.8118,                 2.1115,             0.00099607,             0.00099607,             0.00099607
                     28,                 1.8662,                 3.8262,                 2.3308,                 1.7093,                0.10195,                   0.12,                0.04574,                0.01644,                0.00201,                   0.14,                0.00149,                 0.0004,                 2.3185,                 6.3878,                 4.6778,                 2.2153,              0.0010276,              0.0010276,              0.0010276
                     29,                 1.8242,                  2.812,                  2.453,                 1.6701,                0.10195,                   0.12,                0.04574,                0.01644,                0.00201,                   0.14,                0.00149,                 0.0004,                 2.3185,                 6.3878,                 4.6778,                 2.2153,              0.0010586,              0.0010586,              0.0010586
                     30,                 2.1054,                 3.6461,                 2.5727,                 1.8693,                0.13334,                   0.24,                0.08089,                0.02999,                0.00246,                   0.02,                0.00141,                0.00048,                 2.3946,                  6.053,                  4.615,                 2.3357,              0.0010892,              0.0010892,              0.0010892
                     31,                 1.7697,                 3.4253,                 2.6605,                 1.6144,                0.26901,                   0.22,                0.13009,                0.05169,                0.01483,                   0.04,                0.00293,                0.00102,                 2.3484,                 5.6145,                 4.5336,                 2.3036,              0.0011195,              0.0011195,              0.0011195
                     32,                 1.8088,                 3.3366,                 2.3774,                  1.688,                0.15365,                   0.36,                 0.1047,                0.04005,                0.02527,                   0.06,                 0.0053,                0.00179,                 2.1248,                 5.2975,                 5.3368,                 2.2263,              0.0011492,              0.0011492,              0.0011492
                     33,                  1.894,                 3.6372,                 2.3499,                 1.7502,                0.15365,                   0.36,                 0.1047,                0.04005,                0.02527,                   0.06,                 0.0053,                0.00179,                 2.1248,                 5.2975,                 5.3368,                 2.2263,              0.0011786,              0.0011786,              0.0011786
                     34,                  1.886,                 3.4599,                 2.5601,                 1.7308,                0.17332,                   0.18,                0.08629,                0.02603,                0.01421,                   0.06,                0.00306,                0.00119,                 2.0095,                 4.7785,                 5.5821,                 2.1383,              0.0011956,              0.0011956,              0.0011956
                     35,                 1.9455,                   3.53,                 2.6529,                 1.7194,                0.22661,                   0.16,                0.07358,                0.02793,                0.00765,                   0.08,                0.00229,                0.00077,                 1.9871,                 5.0695,                 6.0355,                 2.0614,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.9806,                 3.6288,                 2.6599,                 1.8284,                0.40043,                    0.2,                0.16687,                 0.0482,                 0.0216,                   0.08,                0.00582,                0.00113,                 2.0511,                 5.1162,                 5.5927,                 2.0471,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.9036,                 3.6487,                 2.7666,                 1.7902,                0.40043,                    0.2,                0.16687,                 0.0482,                 0.0216,                   0.08,                0.00582,                0.00113,                 2.0511,                 5.1162,                 5.5927,                 2.0471,              0.0011814,              0.0011814,              0.0011814
                     38,                 2.0225,                 3.2596,                   2.68,                 1.9347,                0.16209,                   0.26,                0.14315,                0.04282,                0.02721,                    0.1,                 0.0089,                0.00257,                 2.2268,                 5.4901,                  4.592,                 2.1246,              0.0011744,              0.0011744,              0.0011744
                     39,                 2.0515,                 3.5962,                 2.6583,                 1.8647,                0.17143,                    0.2,                0.10828,                0.04733,                0.05874,                   0.02,                 0.0068,                0.00199,                 2.1515,                 5.3629,                 5.0556,                 1.9436,              0.0011673,              0.0011673,              0.0011673
                     40,                  1.936,                 3.4737,                 2.3991,                 1.7789,                0.16229,                   0.16,                0.08067,                0.03356,                 0.0222,                   0.12,                0.00765,                0.00242,                 2.0829,                 5.0912,                  4.697,                 1.8974,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.9862,                 3.4242,                 2.8273,                 1.8006,                0.16229,                   0.16,                0.08067,                0.03356,                 0.0222,                   0.12,                0.00765,                0.00242,                 2.0829,                 5.0912,                  4.697,                 1.8974,              0.0011531,              0.0011531,              0.0011531
                     42,                 1.7951,                  3.382,                 2.4306,                 1.6388,                0.19825,                   0.14,                0.09602,                0.03462,                0.04604,                   0.12,                0.01282,                0.00356,                 1.9743,                 4.7755,                 4.6265,                 1.8311,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.9652,                 3.7907,                 2.4976,                 1.7908,                0.34805,                    0.3,                0.23722,                0.07786,                0.11509,                   0.12,                0.03121,                0.00814,                  1.929,                 4.2589,                 4.2568,                  1.748,               0.001139,               0.001139,               0.001139
                     44,                 1.9932,                 3.4438,                  2.379,                 1.7353,                0.49778,                   0.34,                0.35028,                0.13674,                0.19614,                   0.14,                0.06009,                0.01732,                 1.9973,                 4.1964,                 3.6391,                 1.7819,              0.0011319,              0.0011319,              0.0011319
                     45,                 2.0491,                 3.6599,                 2.6054,                 1.8864,                0.49778,                   0.34,                0.35028,                0.13674,                0.19614,                   0.14,                0.06009,                0.01732,                 1.9973,                 4.1964,                 3.6391,                 1.7819,              0.0011248,              0.0011248,              0.0011248
                     46,                 1.8777,                 3.4548,                 2.6566,                 1.7622,                0.76275,                   0.28,                0.39619,                 0.1429,                0.27564,                    0.1,                 0.0679,                0.01557,                 2.0019,                 4.3793,                 3.6059,                 1.8293,              0.0011178,              0.0011178,              0.0011178
