                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.6838,                 4.4344,                 3.2419,                0.66759,                0.19048,                0.02302,                0.00499,                 3.8438,                 82.747,                 4.2037,              0.0012026,              0.0012026,              0.0012026
                     35,                 3.0631,                 4.0107,                 3.2627,                0.68866,                0.14286,                 0.0387,                0.00818,                 3.6263,                 23.801,                 3.9613,              0.0011956,              0.0011956,              0.0011956
                     36,                 2.9569,                 4.2239,                 3.1003,                0.68516,                0.07143,                0.03697,                0.00823,                 3.2729,                 9.7966,                 3.6112,              0.0011885,              0.0011885,              0.0011885
                     37,                 2.5574,                 4.8944,                 2.6838,                0.70204,                0.04762,                0.03826,                0.00957,                 3.0478,                  7.891,                 3.3824,              0.0011814,              0.0011814,              0.0011814
                     38,                 2.2898,                 4.5339,                  2.438,                0.69285,                0.09524,                0.04136,                 0.0099,                 2.9741,                 7.6593,                 3.2441,              0.0011744,              0.0011744,              0.0011744
                     39,                 3.1737,                 3.9164,                 3.2801,                0.69341,                0.04762,                0.04428,                0.01128,                 2.9229,                 9.0075,                 3.0949,              0.0011673,              0.0011673,              0.0011673
                     40,                  3.191,                 3.9972,                 3.2592,                0.68073,                0.14286,                0.01372,                0.00405,                 2.7724,                 6.9277,                 3.0123,              0.0011602,              0.0011602,              0.0011602
                     41,                 2.8511,                  3.917,                 3.0879,                0.68954,                0.02381,                0.01204,                0.00275,                 2.8116,                 5.4058,                 3.0812,              0.0011531,              0.0011531,              0.0011531
                     42,                 2.7346,                 3.8177,                 3.1567,                0.67822,                0.02381,                0.00747,                0.00216,                  2.794,                  5.945,                 3.1446,              0.0011461,              0.0011461,              0.0011461
                     43,                 3.1406,                  4.191,                 3.3169,                0.67253,                0.11905,                0.01017,                0.00275,                 2.7361,                 10.415,                 3.1114,               0.001139,               0.001139,               0.001139
                     44,                 2.8874,                 4.0714,                 3.1256,                0.67161,                0.19048,                0.03368,                 0.0105,                 2.7817,                 21.162,                 3.1811,              0.0011319,              0.0011319,              0.0011319
                     45,                 2.6652,                 3.8769,                 3.3772,                0.67376,                0.19048,                0.03927,                0.00908,                 2.8306,                 18.251,                 3.1894,              0.0011248,              0.0011248,              0.0011248
                     46,                 2.0503,                 4.4433,                  2.276,                0.69016,                0.14286,                0.04006,                0.01107,                 2.7502,                 10.223,                 3.0707,              0.0011178,              0.0011178,              0.0011178
                     47,                   3.12,                 3.9416,                 3.1737,                0.70644,                0.14286,                0.04639,                0.01401,                 2.6989,                 7.9404,                 3.0257,              0.0011107,              0.0011107,              0.0011107
                     48,                 2.8913,                  3.602,                 3.0951,                0.70926,                0.09524,                0.09753,                0.04335,                 2.6843,                 7.1923,                 2.9676,              0.0011036,              0.0011036,              0.0011036
                     49,                  2.867,                 3.8518,                 2.9977,                0.72544,                0.09524,                0.09861,                0.04416,                 2.6842,                 7.6625,                 3.0093,              0.0010965,              0.0010965,              0.0010965
