                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.6655,                 4.4229,                 3.2677,                0.66762,                0.19048,                0.01788,                0.00586,                 3.9418,                 122.23,                  4.254,             0.00097629,             0.00097629,             0.00097629
                     35,                 3.2032,                 4.0902,                 3.3992,                0.66847,                 0.2619,                0.00387,                0.00144,                 3.8882,                 49.257,                 4.1055,             0.00096215,             0.00096215,             0.00096215
                     36,                 2.9453,                 4.1396,                 3.1346,                0.66805,                0.02381,                0.00139,                 0.0005,                  3.829,                 26.548,                 4.0252,               0.000948,               0.000948,               0.000948
                     37,                 2.2353,                  4.792,                 2.5194,                0.66901,                0.02381,                0.00425,                0.00172,                 3.7758,                 12.802,                 4.0079,             0.00093385,             0.00093385,             0.00093385
                     38,                  2.284,                 4.6515,                 2.4941,                0.66856,                0.14286,                0.03939,                0.00694,                 3.7101,                 10.124,                 3.9158,              0.0009197,              0.0009197,              0.0009197
                     39,                 3.1609,                 4.0572,                 3.3417,                0.67671,                0.14286,                0.04148,                0.00706,                 3.6353,                 14.594,                 3.8098,             0.00090556,             0.00090556,             0.00090556
                     40,                  3.037,                 4.1601,                 3.2818,                0.67345,                0.14286,                0.04001,                0.00662,                 3.4866,                 20.923,                 3.7144,             0.00089141,             0.00089141,             0.00089141
                     41,                 2.8329,                 4.0109,                 3.1482,                0.67509,                0.14286,                0.04048,                0.00832,                  3.221,                  17.86,                 3.4998,             0.00087726,             0.00087726,             0.00087726
                     42,                 2.6614,                 3.9086,                 3.0273,                0.68772,                0.14286,                0.03999,                0.00978,                  3.039,                 11.486,                 3.3554,             0.00086312,             0.00086312,             0.00086312
                     43,                 2.9616,                 4.0857,                 3.2913,                0.68678,                0.14286,                0.01989,                0.00581,                 3.0523,                 7.2794,                 3.3536,             0.00084897,             0.00084897,             0.00084897
                     44,                  2.911,                 3.9856,                 3.1105,                0.67566,                0.14286,                0.02898,                0.00755,                 3.0018,                 5.8414,                 3.2901,             0.00083482,             0.00083482,             0.00083482
                     45,                 2.8824,                 3.9226,                 3.3833,                0.33857,                0.16667,                0.03622,                0.01016,                 2.7978,                  5.604,                 3.1557,             0.00082067,             0.00082067,             0.00082067
                     46,                  2.094,                 4.4296,                 2.3304,                0.33755,                0.16667,                0.08359,                0.02418,                  2.625,                 5.3416,                 2.9705,             0.00080653,             0.00080653,             0.00080653
                     47,                 3.0667,                 4.0404,                 3.2031,                0.35338,                0.21667,                0.10794,                0.02914,                 2.5366,                 5.0062,                 2.9146,             0.00079238,             0.00079238,             0.00079238
                     48,                 2.8389,                 3.5463,                 3.1304,                0.38669,                0.15952,                0.10912,                0.03588,                   2.46,                 4.7258,                 2.8791,             0.00077823,             0.00077823,             0.00077823
                     49,                 2.7649,                 3.7397,                 2.9351,                0.38398,                0.24048,                0.10625,                0.03369,                 2.4339,                 4.8121,                 2.8741,             0.00076409,             0.00076409,             0.00076409
                     50,                 3.0216,                 4.0095,                 3.1861,                0.39657,                0.27381,                 0.0689,                0.02367,                 2.5273,                 5.1978,                 2.9301,             0.00074994,             0.00074994,             0.00074994
                     51,                 2.2409,                 4.3916,                 2.4038,                0.73536,                0.14286,                0.07643,                0.02433,                 2.6029,                 5.9146,                 3.0122,             0.00073579,             0.00073579,             0.00073579
